flight_code,airline,departure_time,arrival_time,duration_minutes,price,stops,departure_airport,arrival_airport,currency,source,route
VIETJET-2005,VietJet Air,2025-10-09 20:05:00,2025-10-09 22:10:00,125,1674200.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2000,VietJet Air,2025-10-09 20:00:00,2025-10-09 22:10:00,130,1674200.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
BAMBOO-2305,Bamboo Airways,2025-10-09 23:05:00,2025-10-10 01:15:00,130,1749956.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1720,VietJet Air,2025-10-09 17:20:00,2025-10-09 19:30:00,130,1799166.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1600,VietJet Air,2025-10-09 16:00:00,2025-10-09 18:10:00,130,1885000.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0730,VietJet Air,2025-10-09 07:30:00,2025-10-09 09:40:00,130,1968042.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETRAVEL-1355,Vietravel Airlines,2025-10-09 13:55:00,2025-10-09 16:05:00,130,2103987.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
BAMBOO-1915,Bamboo Airways,2025-10-09 19:15:00,2025-10-09 21:25:00,130,2106841.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0710,VietJet Air,2025-10-09 07:10:00,2025-10-09 09:20:00,130,2137178.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-2210,VietJet Air,2025-10-09 22:10:00,2025-10-10 00:20:00,130,2137178.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0730,VietJet Air,2025-10-09 07:30:00,2025-10-09 09:40:00,130,2306055.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1125,VietJet Air,2025-10-09 11:25:00,2025-10-09 13:35:00,130,2306055.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-2115,Vietnam Airlines,2025-10-09 21:15:00,2025-10-09 23:20:00,125,2393940.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-2240,Vietnam Airlines,2025-10-09 22:40:00,2025-10-10 00:50:00,130,2464696.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1025,VietJet Air,2025-10-09 10:25:00,2025-10-09 12:35:00,130,2504163.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-1200,VietJet Air,2025-10-09 12:00:00,2025-10-09 14:10:00,130,2504163.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETJET-0500,VietJet Air,2025-10-09 05:00:00,2025-10-09 07:10:00,130,2516600.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-2200,Vietnam Airlines,2025-10-09 22:00:00,2025-10-10 00:05:00,125,2587935.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-2300,Vietnam Airlines,2025-10-09 23:00:00,2025-10-10 01:05:00,125,2664424.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
BAMBOO-1310,Bamboo Airways,2025-10-09 13:10:00,2025-10-09 15:20:00,130,2750328.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
VIETNAM-2100,Vietnam Airlines,2025-10-09 21:00:00,2025-10-09 23:05:00,125,2835929.0,0,HAN,SGN,VND,Traveloka.com,HAN-SGN
