airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,08:15,HAN,10:25,1.686.019 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
Bamboo Airways,SGN,23:25,HAN,01:35,1.592.652 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.689.541 VND/khách,2h 5m,2025-11-22 23:32:31,traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,1.690.942 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,1.782.045 VND/khách,2h 5m,2025-11-22 23:32:31,traveloka.com
VietJet Air,SGN,20:15,HAN,22:25,1.831.495 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,1.863.101 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,1.946.340 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
Vietnam Airlines,SGN,22:15,HAN,00:20,1.998.955 VND/khách,2h 5m,2025-11-22 23:32:31,traveloka.com
VietJet Air,SGN,09:00,HAN,11:10,2.003.080 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,2.036.911 VND/khách,2h 5m,2025-11-22 23:32:31,traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,2.043.360 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,2.118.086 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,2.118.086 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,2.149.120 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
Vietnam Airlines,SGN,21:10,HAN,23:15,2.212.382 VND/khách,2h 5m,2025-11-22 23:32:31,traveloka.com
Vietnam Airlines,SGN,21:10,HAN,23:15,2.212.382 VND/khách,2h 5m,2025-11-22 23:32:31,traveloka.com
Vietnam Airlines,SGN,06:40,HAN,08:45,2.262.630 VND/khách,2h 5m,2025-11-22 23:32:31,traveloka.com
Vietnam Airlines,SGN,21:05,HAN,23:10,2.339.905 VND/khách,2h 5m,2025-11-22 23:32:31,traveloka.com
VietJet Air,SGN,10:00,HAN,12:10,2.346.253 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
VietJet Air,SGN,12:10,HAN,14:20,2.346.253 VND/khách,2h 10m,2025-11-22 23:32:31,traveloka.com
