airline,departure_airport,departure_time,destination_airport,destination_time,price,duration_time,crawled_at,source
VietJet Air,SGN,23:20,HAN,01:30,1.586.423 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Vietravel Airlines,SGN,05:45,HAN,07:55,1.501.830 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,05:20,HAN,07:30,1.586.423 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,05:40,HAN,07:50,1.602.000 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,08:15,HAN,10:25,1.702.822 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,08:30,HAN,10:40,1.702.822 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,21:45,HAN,23:55,1.702.822 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,22:45,HAN,00:55,1.702.822 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Bamboo Airways,SGN,07:10,HAN,09:20,1.737.071 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Bamboo Airways,SGN,23:25,HAN,01:35,1.737.071 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,22:05,HAN,00:10,1.751.200 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietravel Airlines,SGN,07:05,HAN,09:15,1.795.860 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,09:00,HAN,11:10,1.828.542 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,10:00,HAN,12:10,1.828.542 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,19:50,HAN,22:00,1.828.542 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,20:15,HAN,22:25,1.828.542 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,21:00,HAN,23:10,1.828.542 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
SUN PhuQuoc AIRWAYS,SGN,21:50,HAN,23:55,1.842.400 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
SUN PhuQuoc AIRWAYS,SGN,06:30,HAN,08:40,1.842.400 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,23:00,HAN,01:05,1.954.180 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,06:00,HAN,08:05,1.958.160 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,04:55,HAN,07:05,1.973.085 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,06:40,HAN,08:45,1.973.521 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,19:05,HAN,21:15,2.000.076 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Vietravel Airlines,SGN,17:10,HAN,19:20,2.008.710 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,07:25,HAN,09:30,2.034.775 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,14:50,HAN,17:00,2.037.000 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
SUN PhuQuoc AIRWAYS,SGN,18:10,HAN,20:20,2.083.480 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
SUN PhuQuoc AIRWAYS,SGN,19:15,HAN,21:25,2.083.480 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Bamboo Airways,SGN,19:35,HAN,21:45,2.088.490 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Bamboo Airways,SGN,10:20,HAN,12:30,2.118.823 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Bamboo Airways,SGN,13:15,HAN,15:25,2.118.823 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,07:20,HAN,09:30,2.145.773 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,12:00,HAN,14:10,2.145.773 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,13:00,HAN,15:10,2.145.773 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,15:20,HAN,17:30,2.145.773 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Vietravel Airlines,SGN,14:00,HAN,15:55,2.183.940 VND/khách,1h 55m,2025-11-25 10:14:04,Traveloka.com
Vietravel Airlines,SGN,13:10,HAN,15:20,2.183.940 VND/khách,2h 10m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,22:00,HAN,00:05,2.222.830 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,15:30,HAN,17:35,2.499.349 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,16:00,HAN,18:05,2.499.349 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,16:40,HAN,18:45,2.499.349 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,21:10,HAN,23:15,2.499.349 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,12:00,HAN,14:05,2.634.760 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,17:45,HAN,19:50,2.634.760 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,12:05,HAN,14:10,2.701.884 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,20:05,HAN,22:10,2.758.880 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,09:00,HAN,11:05,2.830.775 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,18:00,HAN,20:05,2.830.775 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,20:40,HAN,22:45,2.830.775 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,11:00,HAN,13:05,2.915.050 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,15:00,HAN,17:05,2.915.050 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,20:00,HAN,22:05,2.915.050 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,13:00,HAN,15:05,3.133.255 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,14:00,HAN,16:05,3.133.255 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,17:00,HAN,19:05,3.362.105 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,20:30,HAN,22:35,3.577.025 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
Vietnam Airlines,SGN,10:00,HAN,12:05,3.814.830 VND/khách,2h 5m,2025-11-25 10:14:04,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,07:05,1.561.330 VND/khách,22h 5m,2025-11-25 10:14:04,Traveloka.com
"Bamboo Airways, VietJet Air",SGN,08:50,HAN,07:05,1.578.605 VND/khách,22h 15m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,23:00,HAN,07:05,1.616.000 VND/khách,8h 5m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,06:30,HAN,07:05,1.616.000 VND/khách,24h 35m,2025-11-25 10:14:04,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,19:10,HAN,07:05,1.760.320 VND/khách,11h 55m,2025-11-25 10:14:04,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,09:00,1.788.328 VND/khách,24h 0m,2025-11-25 10:14:04,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,09:15,1.788.328 VND/khách,24h 15m,2025-11-25 10:14:04,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,22:15,2.135.330 VND/khách,13h 15m,2025-11-25 10:14:04,Traveloka.com
"Bamboo Airways, VietJet Air",SGN,08:50,HAN,22:15,2.152.605 VND/khách,13h 25m,2025-11-25 10:14:04,Traveloka.com
"Bamboo Airways, VietJet Air",SGN,06:15,HAN,22:15,2.152.605 VND/khách,16h 0m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,23:00,HAN,07:05,2.262.705 VND/khách,8h 5m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,21:25,HAN,09:00,2.342.223 VND/khách,11h 35m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,15:25,HAN,22:15,2.425.000 VND/khách,6h 50m,2025-11-25 10:14:04,Traveloka.com
"Vietravel Airlines, VietJet Air",SGN,09:00,HAN,16:45,2.459.330 VND/khách,7h 45m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,23:00,HAN,09:00,2.469.931 VND/khách,10h 0m,2025-11-25 10:14:04,Traveloka.com
VietJet Air,SGN,23:00,HAN,09:15,2.469.931 VND/khách,10h 15m,2025-11-25 10:14:04,Traveloka.com
"Bamboo Airways, VietJet Air",SGN,08:50,HAN,16:45,2.476.605 VND/khách,7h 55m,2025-11-25 10:14:04,Traveloka.com
"Vietnam Airlines, VietJet Air",SGN,20:55,HAN,09:15,2.555.079 VND/khách,12h 20m,2025-11-25 10:14:04,Traveloka.com
